ParticipantId,QuestionId,Seq,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MiddleGamma,HRV,Exam Difficulty,Cognitive Load Level
1,1,272,9285,15684,6344,7228,2522,4228,2133,1893,24.32,1,2
1,1,273,12919,12410,1014,1249,3291,2899,1369,1851,24.53,1,2
1,1,274,8808,14214,1961,9264,4621,3718,2489,1606,49.01,1,0
1,1,275,3496,8567,5669,7919,2128,6186,2588,1024,24.43,1,1
1,1,276,58710,42924,13529,7391,22557,14570,8108,3649,64.18,1,1
1,1,277,11538,15367,2036,4131,8965,1943,1660,1114,29.01,1,1
1,1,278,10887,14543,9472,5799,6981,1445,3422,1763,23.36,1,2
1,1,279,7041,67162,2745,24463,15366,6498,2833,1341,30.91,1,1
1,1,280,94423,60057,7399,4597,3989,2694,2888,801,54.81,1,1
1,1,281,9026,16206,12561,9178,7200,4067,3102,2062,24.82,1,2
1,1,282,9702,10759,3638,3803,12164,3766,2228,1279,25.09,1,1
1,1,283,6371,14806,6263,2496,3689,5326,1258,1313,20.54,1,1
1,1,284,33361,33124,2350,2586,6112,7940,3359,951,27.05,1,1
1,1,285,3968,28347,11483,1398,3121,5313,4147,1244,21.82,1,1
1,1,286,4259,6598,2830,952,3934,764,1671,570,28.44,1,1
1,1,287,5616,4875,5864,1136,7212,4895,1637,1734,36.81,1,1
1,1,288,7991,18912,5374,7439,10042,7795,1473,855,47.17,1,1
1,1,289,3335,16651,6020,11379,9818,2126,2827,975,28.68,1,1
1,1,290,612,10824,3822,3619,3080,4092,1112,1369,26.3,1,1
1,1,291,16379,35014,9848,3255,9747,4697,2044,1056,34.9,1,2
1,1,292,20317,40430,2039,4770,8729,7106,5438,1603,31.13,1,1
1,1,293,9993,10151,1370,7166,5244,3436,3657,1923,17.21,1,1
1,1,294,21251,10812,2119,6289,11453,9255,4274,2891,31.96,1,0
1,1,295,925,12047,18476,6085,2541,4750,4868,1681,23.24,1,1
1,1,296,7376,36896,3584,6019,7938,6918,4432,1551,26.05,1,1
1,1,297,9757,19461,3867,7341,4595,2560,2285,1440,35.39,1,1
1,1,298,11538,15367,2036,4131,8965,1943,1660,1114,29.01,1,1
1,1,299,8750,11237,11127,7419,6645,3206,3244,1660,23.8,1,1
1,1,300,13406,10539,1169,2465,4866,4790,1953,1367,43.19,1,1
1,1,301,10619,9935,6696,4809,8550,3696,2141,935,22.34,1,1
1,1,302,11467,16745,11023,5348,19398,3512,2115,1200,19.85,1,2
1,1,303,7865,11081,5078,3063,4173,2610,3273,1402,26.29,1,1
1,1,304,3289,9900,5869,4208,6956,2609,1764,493,33.03,1,1
1,1,305,4968,26113,7891,930,4381,3522,2222,1215,22.69,1,1
1,1,306,3620,25012,7928,2927,18958,2771,6593,1708,27.76,1,1
1,1,307,114107,64369,8917,7631,7813,2352,2877,1372,22.67,1,1
1,1,308,3360,8439,3398,2745,7200,4657,2652,1559,33.27,1,1
1,1,309,57020,82124,35118,16703,4171,6532,2020,1886,51.21,1,1
1,1,310,11739,10290,3353,497,6084,3027,2643,986,43.16,1,2
1,1,311,15645,1452,7633,2115,5682,3901,1192,1643,26.89,1,1
1,1,312,5993,30771,5001,4105,6826,4710,7422,1240,27.37,1,1
1,1,313,8894,4561,6191,2758,8010,1773,1489,710,36.75,1,1
1,1,314,10846,5224,4534,3611,3340,2993,1701,956,30.03,1,1
1,1,315,5750,134096,11513,20193,4900,2435,1276,942,13.85,1,1
1,1,316,409377,31785,6361,3343,3039,183,568,76,70.67,1,1
1,1,317,4886,20483,8086,7394,7858,4594,1660,799,55.57,1,1
1,1,318,6263,45081,5724,2252,3984,2455,2995,1412,39.47,1,1
1,1,319,65206,61861,21848,8006,28381,6651,3028,2707,13.58,1,1
1,1,320,5644,6647,5231,1795,4744,6007,2915,1685,27.11,1,1
1,1,321,1061,15390,5757,4399,3245,4281,3455,875,24.7,1,2
1,1,322,8385,26201,5189,11814,7359,1922,2938,300,27.68,1,1
1,1,323,7632,5858,3246,1897,6041,4875,2065,848,27.97,1,1
1,1,324,4948,18606,4063,3447,9987,1298,1713,1240,49.88,1,1
1,1,325,3955,6906,1763,4747,938,4049,1738,543,27.87,1,1
1,1,326,23510,16921,1558,1959,9631,2839,3359,808,33.67,1,1
1,1,327,4642,8607,3232,3465,11130,5124,1432,1388,33.71,1,1
1,1,328,69397,63818,22876,8734,25571,7135,2397,1556,14.92,1,1
1,1,329,7768,5480,5224,16512,6628,6305,3857,1126,38.66,1,0
1,1,330,13982,30783,9241,7224,7635,7434,1819,793,27.45,1,2
1,1,331,11944,23276,3641,5281,12485,2166,1166,1216,30.12,1,0
1,1,332,3312,8716,4182,5839,3981,3589,1677,1331,37.57,1,1
1,1,333,3314,12122,5397,3329,3788,3559,3906,2146,40.2,1,1
1,1,334,5570,9583,8043,2356,6110,5188,8952,1483,53.12,1,1
1,1,335,7610,5011,4331,771,3409,363,907,599,31.56,1,1
1,1,336,7523,8897,11642,7399,7690,4931,4623,1353,20.56,1,1
1,1,337,11668,37064,2925,5583,7267,5543,3737,1125,22.65,1,2
1,1,338,1689,49195,3886,664,9207,5511,1647,984,33.39,1,1
1,1,339,2466,16495,20320,3407,8992,5010,1702,531,33.76,1,1
1,1,340,18982,36822,10260,5698,16717,4213,1472,1487,13.46,1,1
1,1,341,6949,77345,6260,9601,1480,2382,5063,1344,25.92,1,1
1,1,342,588,11521,8468,3376,12494,9048,2100,1196,29.24,1,1
1,1,343,12583,12748,4984,1923,5806,6938,2853,1317,32.34,1,0
1,1,344,16279,4849,5347,5559,6059,2795,2195,1008,46.76,1,0
1,1,345,1957,9480,11285,3635,6073,2173,2739,1811,28.84,1,1
1,1,346,5009,6556,987,3551,1557,2761,1514,1742,26.63,1,1
1,1,347,15029,11168,3059,3615,6586,4242,2657,1453,38.14,1,0
1,1,348,16379,35014,9848,3255,9747,4697,2044,1056,34.9,1,2
1,1,349,7083,18665,1386,4087,13410,3782,4565,787,29.59,1,2
1,1,350,7773,25370,4364,12274,7264,1316,2880,324,26,1,1
1,1,351,4303,3764,3501,4884,4716,3896,2884,1400,24.28,1,2
1,1,352,8066,5343,2246,1513,6351,7163,3865,1685,15.33,1,1
1,1,353,10342,19057,1428,1564,5025,2548,2496,1255,17.4,1,2
1,1,354,2504,16590,5401,9289,6882,2825,2882,1394,32.9,1,1
1,1,355,14235,22281,3338,5714,2662,2140,4926,1108,23.88,1,1
1,1,356,7364,16727,4541,6243,2370,5914,2711,2002,37.61,1,1
1,1,357,9699,20834,3849,1009,3671,3865,1637,979,16.33,1,1
1,1,358,2877,4305,805,3715,1642,4303,1372,2460,29.51,1,1
